Correct,cdfRatioOfSums1,cdfRatioOfSums2,cdfRatioOfSums3,cdfRatioOfSums4,cdfRatioOfSums5,tOrthoVStParaAbs,hOrthoVShParaAbs,validFrameLength
0,1.052033581,1.087855185,1.076182994,1.03669915,0.998831367,0.40033,0.18982,16345
0,0.986670087,0.998741586,0.985911327,0.995034776,0.996323566,0.45095,0.11872,133
1,1.10906,1.11483,1.06664,1.02892,1.06254,0.19546,0.31008,187
0,1.054374071,1.062383138,1.047778709,1.02684164,0.983148829,0.48205,0.20261,1365
1,1.07426,1.08339,1.03518,0.9705,1.01048,0.28167,0.42058,310
1,1.01517,1.0291,1.01081,0.96195,0.95295,0.16065,0.35703,2525
0,0.97593348,0.97208181,0.981392793,0.981585457,0.98400984,0.40887,0.25747,101
1,1.00708,1.02769,1.01304,0.94943,0.937,0.16691,0.37619,6974
0,0.895295224,0.855695509,0.874080031,0.925120728,0.951538161,0.44129,0.21496,411
0,0.946593211,0.96837294,0.974829892,0.999550202,1.029367865,0.39566,0.15481,2391
1,1.01052972,0.846152544,0.975305271,1.053196979,1.036033236,0,0,1
1,0.960882474,0.9000009,0.980517125,1.032609818,1.062496016,0,0,1
0,1.07042,1.13636,1.03947,0.95812,0.94573,0,0,2
1,0.973681392,0.850745253,0.975305271,1.042557184,1.017697764,0,0,1
0,1.026588646,1.066507402,1.002134547,1.008552525,0.982212138,0.6033,0.26599,167
1,1.061255678,0.99464879,0.993739442,1.011050785,1.029357269,0.36846,0.38395,27
1,0.90088,0.88176,0.95662,0.97916,0.98751,0.30772,0.46839,4636
1,1.16667,1.21277,1.06944,0.92079,0.92439,0,0,1
0,0.804349924,0.901640083,0.949370093,0.979383967,1.035089535,0,0,1
0,1.047131384,0.705004829,0.806946193,1.038518657,1.07248957,0.74133,0.3292,201
1,0.94456,0.91925,0.9087,0.89934,0.92087,0.16855,0.43195,1720
1,0.94295,0.92996,0.93052,0.93336,0.95207,0.17283,0.50941,6131
0,1.203297034,1.142857143,1.150681779,1.16867484,1,0,0,1
1,0.96618,0.94559,0.93254,0.90668,0.9225,0.16576,0.4606,4433
0,0.997217762,1.035657694,1.033741317,1.093051472,1.099058107,1.01128,0.1458,69
1,0.96769,0.95463,0.95444,0.95661,0.97242,0.16622,0.47549,5811
0,0.945000945,0.831213738,0.858958942,1.017387146,1.006603318,0.42356,0.13662,105
1,0.9424,0.99551,0.97157,0.86887,0.88104,0.16281,0.36035,944
1,1.23170912,1.290322581,1.250328211,1.077342412,1.003804419,0.32937,0.33943,11
1,1.1752,1.42663,1.27206,1.08405,1.09147,0.27393,0.36422,11
1,1.097092704,1.081630666,1.101236689,1.060850378,1.068878533,0.04224,0.03423,3
1,1.19543,1.20287,1.10469,1.03903,1.03579,0.26387,0.69811,38
0,0.952943643,0.867483258,0.895359352,0.952517026,0.935488699,0.28133,0.14188,75
0,0.876939132,0.882542428,0.908810004,0.997148156,0.996800271,0.51208,0.18898,156
0,0.852086333,0.794041512,0.859771301,1.005682104,1.098732063,0.50002,0.26714,30
